,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,27053,smoothed_cli,2020-04-06,2020-09-03,150,0.4089404,0.2797702,536.6248,county,fb-survey
0,27053,smoothed_cli,2020-04-07,2020-09-03,149,0.7267255,0.1793255,1879.5422,county,fb-survey
0,27053,smoothed_cli,2020-04-08,2020-09-03,148,0.5450371,0.1143228,3213.6137,county,fb-survey
0,27053,smoothed_cli,2020-04-09,2020-09-03,147,0.6023885,0.1035769,4346.2712,county,fb-survey
0,27053,smoothed_cli,2020-04-10,2020-09-03,146,0.6294378,0.1014948,4872.5407,county,fb-survey
0,27053,smoothed_cli,2020-04-11,2020-09-03,145,0.6201699,0.0988342,5015.8823,county,fb-survey
0,27053,smoothed_cli,2020-04-12,2020-09-03,144,0.616272,0.0982155,5047.6383,county,fb-survey
0,27053,smoothed_cli,2020-04-13,2020-09-03,143,0.6472241,0.1024287,4878.3548,county,fb-survey
0,27053,smoothed_cli,2020-04-14,2020-09-03,142,0.5527449,0.1067882,3752.4264,county,fb-survey
0,27053,smoothed_cli,2020-04-15,2020-09-03,141,0.6716723,0.1484484,2514.0701,county,fb-survey
0,27053,smoothed_cli,2020-04-16,2020-09-03,140,0.5471188,0.1782021,1502.398,county,fb-survey
0,27053,smoothed_cli,2020-04-17,2020-09-03,139,0.4516592,0.1900858,1046.8178,county,fb-survey
0,27053,smoothed_cli,2020-04-18,2020-09-03,138,0.5332019,0.2215527,991.734,county,fb-survey
0,27053,smoothed_cli,2020-04-19,2020-09-03,137,0.4821856,0.200444,1096.8025,county,fb-survey
0,27053,smoothed_cli,2020-04-20,2020-09-03,136,0.491711,0.2277421,838.5308,county,fb-survey
0,27053,smoothed_cli,2020-04-21,2020-09-03,135,0.5580446,0.2569693,744.5985,county,fb-survey
0,27053,smoothed_cli,2020-04-22,2020-09-03,134,0.5746803,0.2538121,757.8406,county,fb-survey
0,27053,smoothed_cli,2020-04-23,2020-09-03,133,0.5965086,0.2511694,771.8545,county,fb-survey
0,27053,smoothed_cli,2020-04-24,2020-09-03,132,0.4303462,0.1934468,864.0876,county,fb-survey
0,27053,smoothed_cli,2020-04-25,2020-09-03,131,0.3914162,0.1760167,950.1441,county,fb-survey
0,27053,smoothed_cli,2020-04-26,2020-09-03,130,0.5230586,0.2011928,996.843,county,fb-survey
0,27053,smoothed_cli,2020-04-27,2020-09-03,129,0.3507043,0.1577589,1060.3825,county,fb-survey
0,27053,smoothed_cli,2020-04-28,2020-09-03,128,0.3489068,0.1627362,1161.385,county,fb-survey
0,27053,smoothed_cli,2020-04-29,2020-09-03,127,0.4056694,0.1778178,1195.5464,county,fb-survey
0,27053,smoothed_cli,2020-04-30,2020-09-03,126,0.487869,0.1862256,1283.9463,county,fb-survey
0,27053,smoothed_cli,2020-05-01,2020-09-03,125,0.4825202,0.1873056,1275.0036,county,fb-survey
0,27053,smoothed_cli,2020-05-02,2020-09-03,124,0.47954,0.1792363,1261.9555,county,fb-survey
0,27053,smoothed_cli,2020-05-03,2020-09-03,123,0.4156384,0.1663335,1233.1508,county,fb-survey
0,27053,smoothed_cli,2020-05-04,2020-09-03,122,0.5794819,0.2021924,1228.6036,county,fb-survey
