X,date,county,state,fips,cases,deaths
264,2020-10-15,Los Angeles,California,06037,265343,6343
265,2020-10-16,Los Angeles,California,06037,266354,6359
266,2020-10-17,Los Angeles,California,06037,267472,6374
267,2020-10-18,Los Angeles,California,06037,268672,6389
268,2020-10-19,Los Angeles,California,06037,269871,6405
269,2020-10-20,Los Angeles,California,06037,271075,6420
270,2020-10-21,Los Angeles,California,06037,272294,6435
271,2020-10-22,Los Angeles,California,06037,273522,6450
272,2020-10-23,Los Angeles,California,06037,274797,6463
273,2020-10-24,Los Angeles,California,06037,276096,6477
274,2020-10-25,Los Angeles,California,06037,277465,6491
275,2020-10-26,Los Angeles,California,06037,278881,6505
276,2020-10-27,Los Angeles,California,06037,280351,6517
277,2020-10-28,Los Angeles,California,06037,281870,6528
278,2020-10-29,Los Angeles,California,06037,283260,6539
279,2020-10-30,Los Angeles,California,06037,284604,6551
280,2020-10-31,Los Angeles,California,06037,285946,6563
281,2020-11-01,Los Angeles,California,06037,287395,6576
282,2020-11-02,Los Angeles,California,06037,288943,6588
283,2020-11-03,Los Angeles,California,06037,290487,6599
284,2020-11-04,Los Angeles,California,06037,292100,6610
285,2020-11-05,Los Angeles,California,06037,293741,6623
286,2020-11-06,Los Angeles,California,06037,295470,6634
287,2020-11-07,Los Angeles,California,06037,297279,6647
288,2020-11-08,Los Angeles,California,06037,299239,6661
289,2020-11-09,Los Angeles,California,06037,301313,6674
290,2020-11-10,Los Angeles,California,06037,303505,6687
291,2020-11-11,Los Angeles,California,06037,305725,6700
292,2020-11-12,Los Angeles,California,06037,308067,6714
293,2020-11-13,Los Angeles,California,06037,310609,6729
294,2020-11-14,Los Angeles,California,06037,313287,6745
295,2020-11-15,Los Angeles,California,06037,316121,6763
296,2020-11-16,Los Angeles,California,06037,319044,6782
297,2020-11-17,Los Angeles,California,06037,322242,6799
298,2020-11-18,Los Angeles,California,06037,325541,6819
299,2020-11-19,Los Angeles,California,06037,328962,6842
300,2020-11-20,Los Angeles,California,06037,332564,6866
301,2020-11-21,Los Angeles,California,06037,336219,6890
302,2020-11-22,Los Angeles,California,06037,339888,6916
303,2020-11-23,Los Angeles,California,06037,343711,6942
304,2020-11-24,Los Angeles,California,06037,347742,6967
305,2020-11-25,Los Angeles,California,06037,352034,6993
306,2020-11-26,Los Angeles,California,06037,356391,7020
307,2020-11-27,Los Angeles,California,06037,360995,7048
308,2020-11-28,Los Angeles,California,06037,365906,7077
309,2020-11-29,Los Angeles,California,06037,371257,7109
310,2020-11-30,Los Angeles,California,06037,376918,7142
311,2020-12-01,Los Angeles,California,06037,382903,7174
312,2020-12-02,Los Angeles,California,06037,389191,7206
313,2020-12-03,Los Angeles,California,06037,395765,7242
314,2020-12-04,Los Angeles,California,06037,402927,7281
315,2020-12-05,Los Angeles,California,06037,410840,7322
316,2020-12-06,Los Angeles,California,06037,419202,7367
317,2020-12-07,Los Angeles,California,06037,428103,7413
318,2020-12-08,Los Angeles,California,06037,436988,7459
319,2020-12-09,Los Angeles,California,06037,446248,7508
320,2020-12-10,Los Angeles,California,06037,456547,7564
321,2020-12-11,Los Angeles,California,06037,467246,7623
322,2020-12-12,Los Angeles,California,06037,478487,7685
323,2020-12-13,Los Angeles,California,06037,489957,7750
324,2020-12-14,Los Angeles,California,06037,501805,7817
325,2020-12-15,Los Angeles,California,06037,513848,7884
326,2020-12-16,Los Angeles,California,06037,526159,7951
327,2020-12-17,Los Angeles,California,06037,538740,8023
328,2020-12-18,Los Angeles,California,06037,551293,8101
329,2020-12-19,Los Angeles,California,06037,563044,8175
330,2020-12-20,Los Angeles,California,06037,575977,8256
331,2020-12-21,Los Angeles,California,06037,589349,8337
332,2020-12-22,Los Angeles,California,06037,602896,8418
333,2020-12-23,Los Angeles,California,06037,615767,8504
334,2020-12-24,Los Angeles,California,06037,628332,8604
335,2020-12-25,Los Angeles,California,06037,640761,8717
336,2020-12-26,Los Angeles,California,06037,653642,8841
337,2020-12-27,Los Angeles,California,06037,666688,8970
338,2020-12-28,Los Angeles,California,06037,679824,9102
339,2020-12-29,Los Angeles,California,06037,692686,9233
340,2020-12-30,Los Angeles,California,06037,705312,9370
341,2020-12-31,Los Angeles,California,06037,717810,9515
