X,date,county,state,fips,cases,deaths
1,2020-03-01,New York City,New York,,1,0
2,2020-03-02,New York City,New York,,3,0
3,2020-03-03,New York City,New York,,5,0
4,2020-03-04,New York City,New York,,9,0
5,2020-03-05,New York City,New York,,14,0
6,2020-03-06,New York City,New York,,22,0
7,2020-03-07,New York City,New York,,34,0
8,2020-03-08,New York City,New York,,53,0
9,2020-03-09,New York City,New York,,76,0
10,2020-03-10,New York City,New York,,109,0
11,2020-03-11,New York City,New York,,155,1
12,2020-03-12,New York City,New York,,251,3
13,2020-03-13,New York City,New York,,427,5
14,2020-03-14,New York City,New York,,742,9
15,2020-03-15,New York City,New York,,1186,14
16,2020-03-16,New York City,New York,,1832,23
17,2020-03-17,New York City,New York,,2710,34
18,2020-03-18,New York City,New York,,3774,50
19,2020-03-19,New York City,New York,,5200,74
20,2020-03-20,New York City,New York,,6845,105
21,2020-03-21,New York City,New York,,8647,145
22,2020-03-22,New York City,New York,,10832,204
23,2020-03-23,New York City,New York,,13227,274
24,2020-03-24,New York City,New York,,15921,359
25,2020-03-25,New York City,New York,,18934,462
26,2020-03-26,New York City,New York,,22179,592
27,2020-03-27,New York City,New York,,25607,742
28,2020-03-28,New York City,New York,,29301,926
29,2020-03-29,New York City,New York,,33244,1148
30,2020-03-30,New York City,New York,,37272,1397
31,2020-03-31,New York City,New York,,41459,1727
32,2020-04-01,New York City,New York,,45633,2106
33,2020-04-02,New York City,New York,,49954,2535
34,2020-04-03,New York City,New York,,54498,3013
35,2020-04-04,New York City,New York,,59054,3524
36,2020-04-05,New York City,New York,,63829,4077
37,2020-04-06,New York City,New York,,68655,4666
38,2020-04-07,New York City,New York,,73383,5282
39,2020-04-08,New York City,New York,,78077,5925
40,2020-04-09,New York City,New York,,83024,6598
41,2020-04-10,New York City,New York,,87930,7274
42,2020-04-11,New York City,New York,,92696,7921
43,2020-04-12,New York City,New York,,97434,8547
44,2020-04-13,New York City,New York,,102063,9174
45,2020-04-14,New York City,New York,,106519,9777
46,2020-04-15,New York City,New York,,110796,10353
47,2020-04-16,New York City,New York,,114915,10904
48,2020-04-17,New York City,New York,,118888,11431
49,2020-04-18,New York City,New York,,122762,11933
50,2020-04-19,New York City,New York,,126613,12411
51,2020-04-20,New York City,New York,,130427,12867
52,2020-04-21,New York City,New York,,134129,13293
53,2020-04-22,New York City,New York,,137403,13696
54,2020-04-23,New York City,New York,,140511,14088
55,2020-04-24,New York City,New York,,143495,14483
56,2020-04-25,New York City,New York,,146343,14877
57,2020-04-26,New York City,New York,,149138,15191
58,2020-04-27,New York City,New York,,151912,15503
59,2020-04-28,New York City,New York,,154590,15794
60,2020-04-29,New York City,New York,,157128,16063
61,2020-04-30,New York City,New York,,159517,16322
62,2020-05-01,New York City,New York,,161701,16564
63,2020-05-02,New York City,New York,,163651,16783
64,2020-05-03,New York City,New York,,165476,16985
65,2020-05-04,New York City,New York,,167205,17172
66,2020-05-05,New York City,New York,,168852,17341
67,2020-05-06,New York City,New York,,170366,17493
68,2020-05-07,New York City,New York,,171766,17637
69,2020-05-08,New York City,New York,,173104,17778
70,2020-05-09,New York City,New York,,174389,17917
71,2020-05-10,New York City,New York,,175585,18033
72,2020-05-11,New York City,New York,,176761,18149
73,2020-05-12,New York City,New York,,177889,18262
74,2020-05-13,New York City,New York,,178956,18361
75,2020-05-14,New York City,New York,,179937,18452
76,2020-05-15,New York City,New York,,180891,18544
77,2020-05-16,New York City,New York,,181793,18633
78,2020-05-17,New York City,New York,,182680,18718
79,2020-05-18,New York City,New York,,183564,18799
80,2020-05-19,New York City,New York,,184439,18870
81,2020-05-20,New York City,New York,,185276,18940
82,2020-05-21,New York City,New York,,186070,19007
83,2020-05-22,New York City,New York,,186812,19073
84,2020-05-23,New York City,New York,,187549,19137
85,2020-05-24,New York City,New York,,188267,19192
86,2020-05-25,New York City,New York,,188979,19246
87,2020-05-26,New York City,New York,,189682,19297
88,2020-05-27,New York City,New York,,190382,19348
89,2020-05-28,New York City,New York,,191038,19396
90,2020-05-29,New York City,New York,,191676,19444
91,2020-05-30,New York City,New York,,192295,19490
92,2020-05-31,New York City,New York,,192891,19532
93,2020-06-01,New York City,New York,,193473,19574
94,2020-06-02,New York City,New York,,194046,19614
95,2020-06-03,New York City,New York,,194595,19653
96,2020-06-04,New York City,New York,,195097,19692
97,2020-06-05,New York City,New York,,195559,19728
98,2020-06-06,New York City,New York,,196000,19766
99,2020-06-07,New York City,New York,,196440,19802
100,2020-06-08,New York City,New York,,196874,19837
101,2020-06-09,New York City,New York,,197289,19870
102,2020-06-10,New York City,New York,,197693,19902
103,2020-06-11,New York City,New York,,198083,19931
104,2020-06-12,New York City,New York,,198460,19961
105,2020-06-13,New York City,New York,,198828,19991
106,2020-06-14,New York City,New York,,199190,20019
