X,date,county,state,fips,cases,deaths
1,2020-03-01,New York City,New York,,1,0
2,2020-03-02,New York City,New York,,3,0
3,2020-03-03,New York City,New York,,5,0
4,2020-03-04,New York City,New York,,9,0
5,2020-03-05,New York City,New York,,14,0
6,2020-03-06,New York City,New York,,22,0
7,2020-03-07,New York City,New York,,34,0
8,2020-03-08,New York City,New York,,53,0
9,2020-03-09,New York City,New York,,76,0
10,2020-03-10,New York City,New York,,109,0
11,2020-03-11,New York City,New York,,155,1
12,2020-03-12,New York City,New York,,251,3
13,2020-03-13,New York City,New York,,427,5
14,2020-03-14,New York City,New York,,742,9
15,2020-03-15,New York City,New York,,1186,14
16,2020-03-16,New York City,New York,,1832,23
17,2020-03-17,New York City,New York,,2710,34
18,2020-03-18,New York City,New York,,3774,50
19,2020-03-19,New York City,New York,,5200,74
20,2020-03-20,New York City,New York,,6845,105
21,2020-03-21,New York City,New York,,8647,145
22,2020-03-22,New York City,New York,,10832,204
