X,date,county,state,fips,cases,deaths
259,2020-10-15,Santa Clara,California,06085,21284,343
260,2020-10-16,Santa Clara,California,06085,21382,345
261,2020-10-17,Santa Clara,California,06085,21486,347
262,2020-10-18,Santa Clara,California,06085,21590,349
263,2020-10-19,Santa Clara,California,06085,21697,351
264,2020-10-20,Santa Clara,California,06085,21810,353
265,2020-10-21,Santa Clara,California,06085,21926,355
266,2020-10-22,Santa Clara,California,06085,22047,357
267,2020-10-23,Santa Clara,California,06085,22168,359
268,2020-10-24,Santa Clara,California,06085,22297,362
269,2020-10-25,Santa Clara,California,06085,22423,364
270,2020-10-26,Santa Clara,California,06085,22551,366
271,2020-10-27,Santa Clara,California,06085,22681,368
272,2020-10-28,Santa Clara,California,06085,22811,370
273,2020-10-29,Santa Clara,California,06085,22944,373
274,2020-10-30,Santa Clara,California,06085,23075,375
275,2020-10-31,Santa Clara,California,06085,23208,378
276,2020-11-01,Santa Clara,California,06085,23351,381
277,2020-11-02,Santa Clara,California,06085,23506,384
278,2020-11-03,Santa Clara,California,06085,23672,387
279,2020-11-04,Santa Clara,California,06085,23844,390
280,2020-11-05,Santa Clara,California,06085,24020,392
281,2020-11-06,Santa Clara,California,06085,24194,395
282,2020-11-07,Santa Clara,California,06085,24384,397
283,2020-11-08,Santa Clara,California,06085,24587,400
284,2020-11-09,Santa Clara,California,06085,24803,402
285,2020-11-10,Santa Clara,California,06085,25036,405
286,2020-11-11,Santa Clara,California,06085,25285,407
287,2020-11-12,Santa Clara,California,06085,25541,409
288,2020-11-13,Santa Clara,California,06085,25809,411
289,2020-11-14,Santa Clara,California,06085,26087,413
290,2020-11-15,Santa Clara,California,06085,26367,415
291,2020-11-16,Santa Clara,California,06085,26648,418
292,2020-11-17,Santa Clara,California,06085,26943,420
293,2020-11-18,Santa Clara,California,06085,27263,422
294,2020-11-19,Santa Clara,California,06085,27602,424
295,2020-11-20,Santa Clara,California,06085,27945,426
296,2020-11-21,Santa Clara,California,06085,28303,428
297,2020-11-22,Santa Clara,California,06085,28690,431
298,2020-11-23,Santa Clara,California,06085,29091,433
299,2020-11-24,Santa Clara,California,06085,29524,435
300,2020-11-25,Santa Clara,California,06085,29964,437
301,2020-11-26,Santa Clara,California,06085,30415,439
302,2020-11-27,Santa Clara,California,06085,30890,441
303,2020-11-28,Santa Clara,California,06085,31397,444
304,2020-11-29,Santa Clara,California,06085,31948,447
305,2020-11-30,Santa Clara,California,06085,32526,450
306,2020-12-01,Santa Clara,California,06085,33170,453
307,2020-12-02,Santa Clara,California,06085,33832,456
308,2020-12-03,Santa Clara,California,06085,34586,459
309,2020-12-04,Santa Clara,California,06085,35375,462
310,2020-12-05,Santa Clara,California,06085,36193,465
311,2020-12-06,Santa Clara,California,06085,37028,469
312,2020-12-07,Santa Clara,California,06085,37952,472
313,2020-12-08,Santa Clara,California,06085,38934,476
314,2020-12-09,Santa Clara,California,06085,39961,480
315,2020-12-10,Santa Clara,California,06085,41001,485
316,2020-12-11,Santa Clara,California,06085,42065,490
317,2020-12-12,Santa Clara,California,06085,43172,495
318,2020-12-13,Santa Clara,California,06085,44294,501
319,2020-12-14,Santa Clara,California,06085,45416,506
320,2020-12-15,Santa Clara,California,06085,46569,513
321,2020-12-16,Santa Clara,California,06085,47686,520
322,2020-12-17,Santa Clara,California,06085,48820,528
323,2020-12-18,Santa Clara,California,06085,49957,537
324,2020-12-19,Santa Clara,California,06085,51082,545
325,2020-12-20,Santa Clara,California,06085,52174,554
326,2020-12-21,Santa Clara,California,06085,53300,563
327,2020-12-22,Santa Clara,California,06085,54439,570
328,2020-12-23,Santa Clara,California,06085,55596,578
329,2020-12-24,Santa Clara,California,06085,56679,585
330,2020-12-25,Santa Clara,California,06085,57822,594
331,2020-12-26,Santa Clara,California,06085,59025,606
332,2020-12-27,Santa Clara,California,06085,60251,618
333,2020-12-28,Santa Clara,California,06085,61458,628
334,2020-12-29,Santa Clara,California,06085,62593,637
335,2020-12-30,Santa Clara,California,06085,63759,647
336,2020-12-31,Santa Clara,California,06085,64921,658
