day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,1633761,3393,596,201,59,926,1782,0,0,0,0,0,0,97,61,36,297873,1094,0,0,0,0,0,0,0,37831
1,2,1634317,3362,585,176,71,988,1820,0,0,0,0,0,0,87,54,33,297326,1088,0,0,0,0,0,0,0,36819
1,3,1633326,3357,620,192,65,937,1814,0,0,0,0,0,0,85,65,20,298326,1092,0,0,0,0,0,0,0,38560
1,4,1633414,3260,564,208,88,925,1785,0,0,0,0,0,0,88,64,24,298363,1090,0,0,0,0,0,0,0,37935
1,5,1634619,3228,596,162,89,979,1826,0,0,0,0,0,0,90,50,40,297133,1104,0,0,0,0,0,0,0,36823
1,6,1632854,3209,593,176,67,917,1753,0,0,0,0,0,0,95,56,39,298978,1111,0,0,0,0,0,0,0,37019
1,7,1633307,3346,579,187,88,932,1786,0,0,0,0,0,0,97,62,35,298375,1089,0,0,0,0,0,0,0,41958
1,8,1634211,3315,577,188,72,930,1767,0,0,0,0,0,0,79,57,22,297587,1041,0,0,0,0,0,0,0,36735
1,9,1633521,3203,644,208,70,974,1896,0,0,0,0,0,0,89,63,26,298181,1110,0,0,0,0,0,0,0,37793
1,10,1633342,3310,602,172,77,903,1754,0,0,0,0,0,0,88,64,24,298487,1019,0,0,0,0,0,0,0,34382
1,11,1633926,3202,617,188,66,944,1815,0,0,0,0,0,0,89,57,32,297841,1127,0,0,0,0,0,0,0,36615
1,12,1633374,3338,646,186,72,963,1867,0,0,0,0,0,0,91,63,28,298299,1031,0,0,0,0,0,0,0,39169
1,13,1633335,3271,581,200,78,890,1749,0,0,0,0,0,0,83,59,24,298474,1088,0,0,0,0,0,0,0,37323
1,14,1633716,3227,633,164,79,924,1800,0,0,0,0,0,0,101,74,27,298096,1060,0,0,0,0,0,0,0,37300
1,15,1634002,3201,601,192,76,938,1807,0,0,0,0,0,0,95,66,29,297784,1111,0,0,0,0,0,0,0,37868
1,16,1633263,3311,605,185,89,938,1817,0,0,0,0,0,0,96,62,34,298363,1150,0,0,0,0,0,0,0,38857
