,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,06085,smoothed_adj_outpatient_cli,2020-02-04,2020-12-30,330,0.017132,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-05,2020-12-30,329,0.01384,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-06,2020-12-30,328,0.016186,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-07,2020-12-30,327,0.013672,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-08,2020-12-30,326,0.011679,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-09,2020-12-30,325,0.01225,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-10,2020-12-30,324,0.013744,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-11,2020-12-30,323,0.01053,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-12,2020-12-30,322,0.008556,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-13,2020-12-30,321,0.007452,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-14,2020-12-30,320,0.010847,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-15,2020-12-30,319,0.013879,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-16,2020-12-30,318,0.015145,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-17,2020-12-30,317,0.017508,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-18,2020-12-30,316,0.023506,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-19,2020-12-30,315,0.024425,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-20,2020-12-30,314,0.024957,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-21,2020-12-30,313,0.020215,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-22,2020-12-30,312,0.021012,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-23,2020-12-30,311,0.024757,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-24,2020-12-30,310,0.026666,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-25,2020-12-30,309,0.018553,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-26,2020-12-30,308,0.013545,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-27,2020-12-30,307,0.015177,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-28,2020-12-30,306,0.016588,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-02-29,2020-12-30,305,0.013838,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-01,2020-12-30,304,0.013762,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-02,2020-12-30,303,0.014409,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-03,2020-12-30,302,0.016168,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-04,2020-12-30,301,0.017828,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-05,2020-12-30,300,0.014508,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-06,2020-12-30,299,0.039369,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-07,2020-12-30,298,0.037881,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-08,2020-12-30,297,0.042421,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-09,2020-12-30,296,0.045909,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-10,2020-12-30,295,0.09665,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-11,2020-12-30,294,0.145216,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-12,2020-12-30,293,0.178597,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-13,2020-12-30,292,0.182153,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-14,2020-12-30,291,0.278198,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-15,2020-12-30,290,0.343877,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-16,2020-12-30,289,0.41308,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-17,2020-12-30,288,0.474792,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-18,2020-12-30,287,0.542382,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-19,2020-12-30,286,0.775907,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-20,2020-12-30,285,1.078453,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-21,2020-12-30,284,1.22429,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-22,2020-12-30,283,1.421158,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-23,2020-12-30,282,1.61301,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-24,2020-12-30,281,1.556241,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-25,2020-12-30,280,1.548782,,,county,chng
0,06085,smoothed_adj_outpatient_cli,2020-03-26,2020-12-30,279,1.489412,,,county,chng
