X,date,county,state,fips,cases,deaths
259,2020-10-15,Santa Clara,California,06085,21284,343
260,2020-10-16,Santa Clara,California,06085,21382,345
261,2020-10-17,Santa Clara,California,06085,21486,347
262,2020-10-18,Santa Clara,California,06085,21590,349
263,2020-10-19,Santa Clara,California,06085,21697,351
264,2020-10-20,Santa Clara,California,06085,21810,353
265,2020-10-21,Santa Clara,California,06085,21926,355
266,2020-10-22,Santa Clara,California,06085,22047,357
267,2020-10-23,Santa Clara,California,06085,22168,359
268,2020-10-24,Santa Clara,California,06085,22297,362
269,2020-10-25,Santa Clara,California,06085,22423,364
270,2020-10-26,Santa Clara,California,06085,22551,366
271,2020-10-27,Santa Clara,California,06085,22681,368
272,2020-10-28,Santa Clara,California,06085,22811,370
273,2020-10-29,Santa Clara,California,06085,22944,373
274,2020-10-30,Santa Clara,California,06085,23075,375
275,2020-10-31,Santa Clara,California,06085,23208,378
276,2020-11-01,Santa Clara,California,06085,23351,381
277,2020-11-02,Santa Clara,California,06085,23506,384
278,2020-11-03,Santa Clara,California,06085,23672,387
279,2020-11-04,Santa Clara,California,06085,23844,390
280,2020-11-05,Santa Clara,California,06085,24020,392
281,2020-11-06,Santa Clara,California,06085,24194,395
282,2020-11-07,Santa Clara,California,06085,24384,397
283,2020-11-08,Santa Clara,California,06085,24587,400
284,2020-11-09,Santa Clara,California,06085,24803,402
285,2020-11-10,Santa Clara,California,06085,25036,405
286,2020-11-11,Santa Clara,California,06085,25285,407
287,2020-11-12,Santa Clara,California,06085,25541,409
288,2020-11-13,Santa Clara,California,06085,25809,411
289,2020-11-14,Santa Clara,California,06085,26087,413
290,2020-11-15,Santa Clara,California,06085,26367,415
