,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,06085,smoothed_cli,2020-04-06,2020-09-03,150,0.3223091,0.4476771,154.1283,county,fb-survey
0,06085,smoothed_cli,2020-04-07,2020-09-03,149,0.2918398,0.2368804,511.5927,county,fb-survey
0,06085,smoothed_cli,2020-04-08,2020-09-03,148,0.347831,0.1761221,829.8159,county,fb-survey
0,06085,smoothed_cli,2020-04-09,2020-09-03,147,0.4871533,0.1755238,1034.7638,county,fb-survey
0,06085,smoothed_cli,2020-04-10,2020-09-03,146,0.5271382,0.1806788,1145.0436,county,fb-survey
0,06085,smoothed_cli,2020-04-11,2020-09-03,145,0.511536,0.1753606,1180.0474,county,fb-survey
0,06085,smoothed_cli,2020-04-12,2020-09-03,144,0.5085091,0.1743283,1187.0632,county,fb-survey
0,06085,smoothed_cli,2020-04-13,2020-09-03,143,0.4682551,0.1685801,1192.7401,county,fb-survey
0,06085,smoothed_cli,2020-04-14,2020-09-03,142,0.4766566,0.1560801,1211.4777,county,fb-survey
0,06085,smoothed_cli,2020-04-15,2020-09-03,141,0.3875741,0.1436884,1200.1607,county,fb-survey
0,06085,smoothed_cli,2020-04-16,2020-09-03,140,0.2258588,0.1080983,1327.1849,county,fb-survey
0,06085,smoothed_cli,2020-04-17,2020-09-03,139,0.1411612,0.0731171,1419.8501,county,fb-survey
0,06085,smoothed_cli,2020-04-18,2020-09-03,138,0.186993,0.0895421,1602.9134,county,fb-survey
0,06085,smoothed_cli,2020-04-19,2020-09-03,137,0.2134559,0.0932978,1870.1536,county,fb-survey
0,06085,smoothed_cli,2020-04-20,2020-09-03,136,0.2003174,0.0885267,1970.7144,county,fb-survey
0,06085,smoothed_cli,2020-04-21,2020-09-03,135,0.1466092,0.0843895,1880.3992,county,fb-survey
0,06085,smoothed_cli,2020-04-22,2020-09-03,134,0.152188,0.086538,1851.7162,county,fb-survey
0,06085,smoothed_cli,2020-04-23,2020-09-03,133,0.1278032,0.0839114,1815.5198,county,fb-survey
0,06085,smoothed_cli,2020-04-24,2020-09-03,132,0.1727626,0.0882405,1918.1555,county,fb-survey
0,06085,smoothed_cli,2020-04-25,2020-09-03,131,0.176806,0.0809509,2127.2295,county,fb-survey
0,06085,smoothed_cli,2020-04-26,2020-09-03,130,0.1933834,0.0745641,2287.9867,county,fb-survey
