X,date,county,state,fips,cases,deaths
37,2020-01-31,Santa Clara,California,6085,1,0
43,2020-02-01,Santa Clara,California,6085,1,0
51,2020-02-02,Santa Clara,California,6085,2,0
59,2020-02-03,Santa Clara,California,6085,2,0
67,2020-02-04,Santa Clara,California,6085,2,0
75,2020-02-05,Santa Clara,California,6085,2,0
84,2020-02-06,Santa Clara,California,6085,2,0
93,2020-02-07,Santa Clara,California,6085,2,0
102,2020-02-08,Santa Clara,California,6085,2,0
111,2020-02-09,Santa Clara,California,6085,2,0
121,2020-02-10,Santa Clara,California,6085,2,0
131,2020-02-11,Santa Clara,California,6085,2,0
141,2020-02-12,Santa Clara,California,6085,2,0
152,2020-02-13,Santa Clara,California,6085,2,0
163,2020-02-14,Santa Clara,California,6085,2,0
174,2020-02-15,Santa Clara,California,6085,2,0
185,2020-02-16,Santa Clara,California,6085,2,0
196,2020-02-17,Santa Clara,California,6085,2,0
208,2020-02-18,Santa Clara,California,6085,2,0
220,2020-02-19,Santa Clara,California,6085,2,0
233,2020-02-20,Santa Clara,California,6085,2,0
247,2020-02-21,Santa Clara,California,6085,2,0
261,2020-02-22,Santa Clara,California,6085,2,0
275,2020-02-23,Santa Clara,California,6085,2,0
289,2020-02-24,Santa Clara,California,6085,2,0
305,2020-02-25,Santa Clara,California,6085,2,0
324,2020-02-26,Santa Clara,California,6085,2,0
344,2020-02-27,Santa Clara,California,6085,2,0
364,2020-02-28,Santa Clara,California,6085,3,0
386,2020-02-29,Santa Clara,California,6085,4,0
409,2020-03-01,Santa Clara,California,6085,7,0
438,2020-03-02,Santa Clara,California,6085,9,0
472,2020-03-03,Santa Clara,California,6085,11,0
507,2020-03-04,Santa Clara,California,6085,14,0
546,2020-03-05,Santa Clara,California,6085,20,0
596,2020-03-06,Santa Clara,California,6085,24,0
673,2020-03-07,Santa Clara,California,6085,32,0
768,2020-03-08,Santa Clara,California,6085,37,0
882,2020-03-09,Santa Clara,California,6085,43,1
1015,2020-03-10,Santa Clara,California,6085,45,1
1181,2020-03-11,Santa Clara,California,6085,48,1
1387,2020-03-12,Santa Clara,California,6085,66,1
1648,2020-03-13,Santa Clara,California,6085,79,2
1966,2020-03-14,Santa Clara,California,6085,91,2
2347,2020-03-15,Santa Clara,California,6085,114,2
2782,2020-03-16,Santa Clara,California,6085,138,4
3264,2020-03-17,Santa Clara,California,6085,155,5
3818,2020-03-18,Santa Clara,California,6085,175,6
4478,2020-03-19,Santa Clara,California,6085,189,6
5253,2020-03-20,Santa Clara,California,6085,196,8
6174,2020-03-21,Santa Clara,California,6085,263,8
7208,2020-03-22,Santa Clara,California,6085,303,11
8351,2020-03-23,Santa Clara,California,6085,321,11
9593,2020-03-24,Santa Clara,California,6085,375,17
10962,2020-03-25,Santa Clara,California,6085,459,18
12504,2020-03-26,Santa Clara,California,6085,542,20
14172,2020-03-27,Santa Clara,California,6085,574,21
15956,2020-03-28,Santa Clara,California,6085,591,26
17846,2020-03-29,Santa Clara,California,6085,646,26
19825,2020-03-30,Santa Clara,California,6085,848,29
21900,2020-03-31,Santa Clara,California,6085,890,31
24059,2020-04-01,Santa Clara,California,6085,956,33
26283,2020-04-02,Santa Clara,California,6085,1019,37
28577,2020-04-03,Santa Clara,California,6085,1094,39
30932,2020-04-04,Santa Clara,California,6085,1148,40
33338,2020-04-05,Santa Clara,California,6085,1207,40
35781,2020-04-06,Santa Clara,California,6085,1224,40
38266,2020-04-07,Santa Clara,California,6085,1285,44
40804,2020-04-08,Santa Clara,California,6085,1380,47
43368,2020-04-09,Santa Clara,California,6085,1442,48
45963,2020-04-10,Santa Clara,California,6085,1484,50
48590,2020-04-11,Santa Clara,California,6085,1566,52
51249,2020-04-12,Santa Clara,California,6085,1621,54
53925,2020-04-13,Santa Clara,California,6085,1666,61
56614,2020-04-14,Santa Clara,California,6085,1666,61
59318,2020-04-15,Santa Clara,California,6085,1793,66
