X,date,county,state,fips,cases,deaths
1,2020-01-31,Santa Clara,California,06085,0,0
2,2020-02-01,Santa Clara,California,06085,0,0
3,2020-02-02,Santa Clara,California,06085,0,0
4,2020-02-03,Santa Clara,California,06085,0,0
5,2020-02-04,Santa Clara,California,06085,1,0
6,2020-02-05,Santa Clara,California,06085,1,0
7,2020-02-06,Santa Clara,California,06085,1,0
8,2020-02-07,Santa Clara,California,06085,1,0
9,2020-02-08,Santa Clara,California,06085,1,0
10,2020-02-09,Santa Clara,California,06085,1,0
11,2020-02-10,Santa Clara,California,06085,1,0
12,2020-02-11,Santa Clara,California,06085,1,0
13,2020-02-12,Santa Clara,California,06085,1,0
14,2020-02-13,Santa Clara,California,06085,1,0
15,2020-02-14,Santa Clara,California,06085,1,0
16,2020-02-15,Santa Clara,California,06085,1,0
17,2020-02-16,Santa Clara,California,06085,1,0
18,2020-02-17,Santa Clara,California,06085,1,0
19,2020-02-18,Santa Clara,California,06085,1,0
20,2020-02-19,Santa Clara,California,06085,1,0
21,2020-02-20,Santa Clara,California,06085,1,0
22,2020-02-21,Santa Clara,California,06085,1,0
23,2020-02-22,Santa Clara,California,06085,1,0
24,2020-02-23,Santa Clara,California,06085,1,0
25,2020-02-24,Santa Clara,California,06085,2,0
26,2020-02-25,Santa Clara,California,06085,2,0
27,2020-02-26,Santa Clara,California,06085,3,0
28,2020-02-27,Santa Clara,California,06085,4,0
29,2020-02-28,Santa Clara,California,06085,5,0
30,2020-02-29,Santa Clara,California,06085,7,0
31,2020-03-01,Santa Clara,California,06085,9,0
32,2020-03-02,Santa Clara,California,06085,11,0
33,2020-03-03,Santa Clara,California,06085,14,0
34,2020-03-04,Santa Clara,California,06085,17,0
35,2020-03-05,Santa Clara,California,06085,20,0
36,2020-03-06,Santa Clara,California,06085,25,0
37,2020-03-07,Santa Clara,California,06085,30,0
38,2020-03-08,Santa Clara,California,06085,36,0
39,2020-03-09,Santa Clara,California,06085,44,0
40,2020-03-10,Santa Clara,California,06085,53,0
41,2020-03-11,Santa Clara,California,06085,63,1
42,2020-03-12,Santa Clara,California,06085,74,1
43,2020-03-13,Santa Clara,California,06085,86,2
44,2020-03-14,Santa Clara,California,06085,98,2
45,2020-03-15,Santa Clara,California,06085,114,3
46,2020-03-16,Santa Clara,California,06085,132,4
47,2020-03-17,Santa Clara,California,06085,152,4
48,2020-03-18,Santa Clara,California,06085,175,5
49,2020-03-19,Santa Clara,California,06085,203,7
50,2020-03-20,Santa Clara,California,06085,236,8
51,2020-03-21,Santa Clara,California,06085,271,9
52,2020-03-22,Santa Clara,California,06085,305,11
53,2020-03-23,Santa Clara,California,06085,341,13
