X,date,county,state,fips,cases,deaths
1,2020-03-06,South Florida,Florida,12011,2,0
2,2020-03-07,South Florida,Florida,12011,6,0
3,2020-03-08,South Florida,Florida,12011,10,0
4,2020-03-09,South Florida,Florida,12011,15,0
5,2020-03-10,South Florida,Florida,12011,22,0
6,2020-03-11,South Florida,Florida,12011,31,0
7,2020-03-12,South Florida,Florida,12011,44,0
8,2020-03-13,South Florida,Florida,12011,60,0
9,2020-03-14,South Florida,Florida,12011,81,0
10,2020-03-15,South Florida,Florida,12011,109,0
11,2020-03-16,South Florida,Florida,12011,146,0
12,2020-03-17,South Florida,Florida,12011,190,1
13,2020-03-18,South Florida,Florida,12011,246,1
14,2020-03-19,South Florida,Florida,12011,319,2
15,2020-03-20,South Florida,Florida,12011,413,2
16,2020-03-21,South Florida,Florida,12011,536,3
17,2020-03-22,South Florida,Florida,12011,695,5
18,2020-03-23,South Florida,Florida,12011,897,6
19,2020-03-24,South Florida,Florida,12011,1127,8
20,2020-03-25,South Florida,Florida,12011,1394,10
21,2020-03-26,South Florida,Florida,12011,1693,14
22,2020-03-27,South Florida,Florida,12011,2039,18
23,2020-03-28,South Florida,Florida,12011,2429,23
24,2020-03-29,South Florida,Florida,12011,2868,30
25,2020-03-30,South Florida,Florida,12011,3329,38
26,2020-03-31,South Florida,Florida,12011,3839,48
27,2020-04-01,South Florida,Florida,12011,4379,59
28,2020-04-02,South Florida,Florida,12011,4937,72
29,2020-04-03,South Florida,Florida,12011,5513,85
30,2020-04-04,South Florida,Florida,12011,6101,101
31,2020-04-05,South Florida,Florida,12011,6696,117
32,2020-04-06,South Florida,Florida,12011,7299,134
33,2020-04-07,South Florida,Florida,12011,7909,152
34,2020-04-08,South Florida,Florida,12011,8511,172
35,2020-04-09,South Florida,Florida,12011,9101,193
36,2020-04-10,South Florida,Florida,12011,9668,216
37,2020-04-11,South Florida,Florida,12011,10245,239
38,2020-04-12,South Florida,Florida,12011,10822,261
