X,date,county,state,fips,cases,deaths
1,2020-01-21,Western Washington,Washington,53061,0,0
2,2020-01-22,Western Washington,Washington,53061,0,0
3,2020-01-23,Western Washington,Washington,53061,0,0
4,2020-01-24,Western Washington,Washington,53061,0,0
5,2020-01-25,Western Washington,Washington,53061,0,0
6,2020-01-26,Western Washington,Washington,53061,0,0
7,2020-01-27,Western Washington,Washington,53061,0,0
8,2020-01-28,Western Washington,Washington,53061,0,0
9,2020-01-29,Western Washington,Washington,53061,0,0
10,2020-01-30,Western Washington,Washington,53061,0,0
11,2020-01-31,Western Washington,Washington,53061,0,0
12,2020-02-01,Western Washington,Washington,53061,0,0
13,2020-02-02,Western Washington,Washington,53061,0,0
14,2020-02-03,Western Washington,Washington,53061,0,0
15,2020-02-04,Western Washington,Washington,53061,0,0
16,2020-02-05,Western Washington,Washington,53061,0,0
17,2020-02-06,Western Washington,Washington,53061,0,0
18,2020-02-07,Western Washington,Washington,53061,0,0
19,2020-02-08,Western Washington,Washington,53061,0,0
20,2020-02-09,Western Washington,Washington,53061,0,0
21,2020-02-10,Western Washington,Washington,53061,0,0
22,2020-02-11,Western Washington,Washington,53061,0,0
23,2020-02-12,Western Washington,Washington,53061,0,0
24,2020-02-13,Western Washington,Washington,53061,0,0
25,2020-02-14,Western Washington,Washington,53061,0,0
26,2020-02-15,Western Washington,Washington,53061,0,0
27,2020-02-16,Western Washington,Washington,53061,0,0
28,2020-02-17,Western Washington,Washington,53061,0,0
29,2020-02-18,Western Washington,Washington,53061,0,0
30,2020-02-19,Western Washington,Washington,53061,0,0
31,2020-02-20,Western Washington,Washington,53061,0,0
32,2020-02-21,Western Washington,Washington,53061,0,0
33,2020-02-22,Western Washington,Washington,53061,0,0
34,2020-02-23,Western Washington,Washington,53061,1,0
35,2020-02-24,Western Washington,Washington,53061,2,0
36,2020-02-25,Western Washington,Washington,53061,3,0
37,2020-02-26,Western Washington,Washington,53061,5,1
38,2020-02-27,Western Washington,Washington,53061,8,2
39,2020-02-28,Western Washington,Washington,53061,12,2
40,2020-02-29,Western Washington,Washington,53061,18,3
41,2020-03-01,Western Washington,Washington,53061,25,5
42,2020-03-02,Western Washington,Washington,53061,34,6
43,2020-03-03,Western Washington,Washington,53061,46,7
44,2020-03-04,Western Washington,Washington,53061,66,9
45,2020-03-05,Western Washington,Washington,53061,89,11
46,2020-03-06,Western Washington,Washington,53061,117,13
47,2020-03-07,Western Washington,Washington,53061,151,16
48,2020-03-08,Western Washington,Washington,53061,191,18
49,2020-03-09,Western Washington,Washington,53061,235,21
50,2020-03-10,Western Washington,Washington,53061,286,23
