X,date,county,state,fips,cases,deaths
254,2020-09-30,Western Washington,Washington,53061,38443,1167
255,2020-10-01,Western Washington,Washington,53061,38668,1170
256,2020-10-02,Western Washington,Washington,53061,38900,1173
257,2020-10-03,Western Washington,Washington,53061,39141,1176
258,2020-10-04,Western Washington,Washington,53061,39384,1178
259,2020-10-05,Western Washington,Washington,53061,39629,1181
260,2020-10-06,Western Washington,Washington,53061,39895,1184
261,2020-10-07,Western Washington,Washington,53061,40163,1187
262,2020-10-08,Western Washington,Washington,53061,40438,1191
263,2020-10-09,Western Washington,Washington,53061,40712,1194
264,2020-10-10,Western Washington,Washington,53061,40990,1198
265,2020-10-11,Western Washington,Washington,53061,41280,1201
266,2020-10-12,Western Washington,Washington,53061,41567,1205
267,2020-10-13,Western Washington,Washington,53061,41868,1208
268,2020-10-14,Western Washington,Washington,53061,42164,1212
269,2020-10-15,Western Washington,Washington,53061,42465,1215
270,2020-10-16,Western Washington,Washington,53061,42771,1218
271,2020-10-17,Western Washington,Washington,53061,43095,1221
272,2020-10-18,Western Washington,Washington,53061,43424,1224
273,2020-10-19,Western Washington,Washington,53061,43744,1227
274,2020-10-20,Western Washington,Washington,53061,44078,1231
275,2020-10-21,Western Washington,Washington,53061,44403,1234
276,2020-10-22,Western Washington,Washington,53061,44736,1238
277,2020-10-23,Western Washington,Washington,53061,45082,1241
278,2020-10-24,Western Washington,Washington,53061,45447,1245
279,2020-10-25,Western Washington,Washington,53061,45827,1249
280,2020-10-26,Western Washington,Washington,53061,46199,1252
281,2020-10-27,Western Washington,Washington,53061,46612,1255
282,2020-10-28,Western Washington,Washington,53061,47018,1258
283,2020-10-29,Western Washington,Washington,53061,47463,1262
284,2020-10-30,Western Washington,Washington,53061,47936,1267
285,2020-10-31,Western Washington,Washington,53061,48454,1271
286,2020-11-01,Western Washington,Washington,53061,49000,1275
287,2020-11-02,Western Washington,Washington,53061,49554,1279
288,2020-11-03,Western Washington,Washington,53061,50162,1283
289,2020-11-04,Western Washington,Washington,53061,50782,1287
290,2020-11-05,Western Washington,Washington,53061,51416,1291
291,2020-11-06,Western Washington,Washington,53061,52093,1296
292,2020-11-07,Western Washington,Washington,53061,52832,1301
293,2020-11-08,Western Washington,Washington,53061,53621,1306
294,2020-11-09,Western Washington,Washington,53061,54409,1311
295,2020-11-10,Western Washington,Washington,53061,55290,1316
296,2020-11-11,Western Washington,Washington,53061,56174,1321
297,2020-11-12,Western Washington,Washington,53061,57040,1326
298,2020-11-13,Western Washington,Washington,53061,57924,1332
299,2020-11-14,Western Washington,Washington,53061,58841,1338
300,2020-11-15,Western Washington,Washington,53061,59781,1344
301,2020-11-16,Western Washington,Washington,53061,60721,1349
302,2020-11-17,Western Washington,Washington,53061,61789,1354
303,2020-11-18,Western Washington,Washington,53061,62908,1361
304,2020-11-19,Western Washington,Washington,53061,64035,1368
305,2020-11-20,Western Washington,Washington,53061,65118,1374
306,2020-11-21,Western Washington,Washington,53061,66204,1381
307,2020-11-22,Western Washington,Washington,53061,67298,1387
308,2020-11-23,Western Washington,Washington,53061,68337,1393
309,2020-11-24,Western Washington,Washington,53061,69440,1400
310,2020-11-25,Western Washington,Washington,53061,70595,1408
311,2020-11-26,Western Washington,Washington,53061,71753,1417
312,2020-11-27,Western Washington,Washington,53061,72893,1427
313,2020-11-28,Western Washington,Washington,53061,74071,1438
314,2020-11-29,Western Washington,Washington,53061,75221,1448
315,2020-11-30,Western Washington,Washington,53061,76230,1458
316,2020-12-01,Western Washington,Washington,53061,77384,1467
317,2020-12-02,Western Washington,Washington,53061,78541,1477
318,2020-12-03,Western Washington,Washington,53061,79764,1488
319,2020-12-04,Western Washington,Washington,53061,81043,1496
320,2020-12-05,Western Washington,Washington,53061,82377,1505
321,2020-12-06,Western Washington,Washington,53061,83747,1509
322,2020-12-07,Western Washington,Washington,53061,85071,1511
323,2020-12-08,Western Washington,Washington,53061,86415,1514
324,2020-12-09,Western Washington,Washington,53061,87719,1516
325,2020-12-10,Western Washington,Washington,53061,89015,1518
326,2020-12-11,Western Washington,Washington,53061,90340,1521
327,2020-12-12,Western Washington,Washington,53061,91734,1523
328,2020-12-13,Western Washington,Washington,53061,93169,1525
