day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,total_H
1,1,4094448,1090,499,376,16,436,1327,0,0,0,0,0,0,123,83,40,175524,1036,0,0,0,0,0,0,56086
1,2,4094781,1000,489,355,31,418,1293,0,0,0,0,0,0,128,91,37,175248,1098,0,0,0,0,0,0,40809
1,3,4094711,1046,515,342,23,446,1326,0,0,0,0,0,0,118,69,49,175304,1043,0,0,0,0,0,0,43858
1,4,4094802,973,541,393,21,395,1350,0,0,0,0,0,0,126,76,50,175273,1024,0,0,0,0,0,0,45171
1,5,4094639,1014,465,394,29,406,1294,0,0,0,0,0,0,137,102,35,175451,1013,0,0,0,0,0,0,47900
1,6,4094467,1011,489,346,20,424,1279,0,0,0,0,0,0,157,100,57,175543,1091,0,0,0,0,0,0,43664
1,7,4094712,992,506,393,22,439,1360,0,0,0,0,0,0,144,94,50,175266,1074,0,0,0,0,0,0,50696
1,8,4095473,990,509,356,22,427,1314,0,0,0,0,0,0,111,71,40,174650,1010,0,0,0,0,0,0,49128
1,9,4094371,1077,542,352,29,442,1365,0,0,0,0,0,0,127,79,48,175537,1071,0,0,0,0,0,0,45689
1,10,4095701,1022,481,368,18,445,1312,0,0,0,0,0,0,126,75,51,174377,1010,0,0,0,0,0,0,49558
1,11,4094243,1042,509,343,24,425,1301,0,0,0,0,0,0,132,89,43,175744,1086,0,0,0,0,0,0,46557
1,12,4095425,1080,505,358,27,441,1331,0,0,0,0,0,0,131,82,49,174532,1049,0,0,0,0,0,0,48925
1,13,4094802,995,529,371,16,430,1346,0,0,0,0,0,0,127,76,51,175254,1024,0,0,0,0,0,0,47139
1,14,4095180,1062,469,372,21,416,1278,0,0,0,0,0,0,127,81,46,174892,1009,0,0,0,0,0,0,51192
1,15,4094429,1022,514,365,23,451,1353,0,0,0,0,0,0,129,83,46,175544,1071,0,0,0,0,0,0,48886
1,16,4095453,1026,503,394,23,438,1358,0,0,0,0,0,0,142,92,50,174514,1055,0,0,0,0,0,0,47730
1,17,4095047,996,510,323,24,421,1278,0,0,0,0,0,0,129,82,47,175026,1072,0,0,0,0,0,0,42736
1,18,4094804,1009,552,362,21,464,1399,0,0,0,0,0,0,142,91,51,175158,1036,0,0,0,0,0,0,45752
1,19,4094408,1023,515,372,24,418,1329,0,0,0,0,0,0,136,93,43,175609,1043,0,0,0,0,0,0,47954
1,20,4093660,1035,486,356,24,450,1316,0,0,0,0,0,0,151,96,55,176269,1117,0,0,0,0,0,0,51599
1,21,4094924,974,505,355,24,439,1323,0,0,0,0,0,0,119,77,42,175171,1037,0,0,0,0,0,0,45573
1,22,4094786,968,503,373,26,449,1351,0,0,0,0,0,0,108,78,30,175310,1025,0,0,0,0,0,0,43997
1,23,4095289,1038,467,370,26,431,1294,0,0,0,0,0,0,124,73,51,174770,1033,0,0,0,0,0,0,49462
1,24,4094940,1041,465,343,24,423,1255,0,0,0,0,0,0,132,85,47,175165,1015,0,0,0,0,0,0,46287
1,25,4094961,1023,488,359,24,425,1296,0,0,0,0,0,0,140,86,54,175077,1051,0,0,0,0,0,0,45556
1,26,4095551,1025,497,347,28,422,1294,0,0,0,0,0,0,130,87,43,174512,1036,0,0,0,0,0,0,48062
1,27,4095366,954,510,361,17,438,1326,0,0,0,0,0,0,118,70,48,174740,1044,0,0,0,0,0,0,51347
