day,.id,S,E,Ia,Ip,Is,Im,I,I_new_sympt,D_new_reported,D_new_unreported,dIpIs_save,dIpIm_save,dEIa_save,H,Hr,Hd,R,D,D_new,H_new,thresh_crossed,import_total,deaths,cases,uncases,total_H
1,1,4071875,7801,3112,551,95,2888,6646,0,0,0,0,0,0,138,101,37,185951,1137,0,0,0,0,0,0,0,553775
1,2,4072318,7753,3087,509,111,2996,6703,0,0,0,0,0,0,126,92,34,185518,1130,0,0,0,0,0,0,0,552587
1,3,4071518,7746,3168,536,103,2907,6714,0,0,0,0,0,0,127,106,21,186309,1134,0,0,0,0,0,0,0,563682
1,4,4071732,7598,3040,561,132,2885,6618,0,0,0,0,0,0,130,105,25,186338,1132,0,0,0,0,0,0,0,554636
1,5,4072652,7549,3112,484,132,2980,6708,0,0,0,0,0,0,127,86,41,185366,1146,0,0,0,0,0,0,0,560014
1,6,4071327,7519,3106,509,105,2870,6590,0,0,0,0,0,0,135,95,40,186824,1153,0,0,0,0,0,0,0,547659
1,7,4071573,7729,3073,527,131,2898,6629,0,0,0,0,0,0,138,102,36,186348,1131,0,0,0,0,0,0,0,555457
1,8,4072339,7681,3069,529,111,2894,6603,0,0,0,0,0,0,118,96,22,185725,1082,0,0,0,0,0,0,0,560834
1,9,4071695,7510,3223,563,108,2971,6865,0,0,0,0,0,0,131,104,27,186194,1153,0,0,0,0,0,0,0,546818
1,10,4071657,7674,3126,501,118,2846,6591,0,0,0,0,0,0,130,105,25,186436,1060,0,0,0,0,0,0,0,561707
1,11,4072103,7509,3161,529,104,2918,6712,0,0,0,0,0,0,128,95,33,185926,1170,0,0,0,0,0,0,0,546373
1,12,4071030,7716,3228,525,112,2952,6817,0,0,0,0,0,0,132,103,29,186727,1126,0,0,0,0,0,0,0,559716
1,13,4071727,7569,3139,510,101,2823,6573,0,0,0,0,0,0,123,98,25,186426,1130,0,0,0,0,0,0,0,554734
1,14,4071938,7548,3196,488,120,2884,6688,0,0,0,0,0,0,146,118,28,186127,1101,0,0,0,0,0,0,0,540602
1,15,4072185,7507,3126,534,116,2909,6685,0,0,0,0,0,0,137,108,29,185880,1154,0,0,0,0,0,0,0,551709
1,16,4071511,7675,3133,523,132,2907,6695,0,0,0,0,0,0,136,102,34,186338,1193,0,0,0,0,0,0,0,548248
1,17,4072219,7546,3139,486,113,2848,6586,0,0,0,0,0,0,130,99,31,185915,1152,0,0,0,0,0,0,0,539962
1,18,4071815,7580,3243,534,108,2960,6845,0,0,0,0,0,0,143,109,34,186050,1115,0,0,0,0,0,0,0,562738
1,19,4071503,7619,3150,546,113,2840,6649,0,0,0,0,0,0,139,111,28,186515,1123,0,0,0,0,0,0,0,552353
1,20,4070706,7652,3079,527,114,2923,6643,0,0,0,0,0,0,152,114,38,187196,1199,0,0,0,0,0,0,0,551580
1,21,4072098,7486,3127,526,113,2895,6661,0,0,0,0,0,0,121,94,27,186065,1117,0,0,0,0,0,0,0,543839
1,22,4071949,7468,3122,547,118,2921,6708,0,0,0,0,0,0,112,94,18,186208,1103,0,0,0,0,0,0,0,555763
1,23,4072436,7659,3031,544,119,2873,6567,0,0,0,0,0,0,123,89,34,185651,1112,0,0,0,0,0,0,0,559236
1,24,4072089,7668,3027,510,115,2853,6505,0,0,0,0,0,0,134,103,31,186058,1094,0,0,0,0,0,0,0,549980
1,25,4072103,7618,3084,530,113,2860,6587,0,0,0,0,0,0,141,104,37,185968,1131,0,0,0,0,0,0,0,552096
1,26,4072697,7624,3106,516,122,2851,6595,0,0,0,0,0,0,132,104,28,185385,1115,0,0,0,0,0,0,0,547508
1,27,4072569,7431,3138,532,98,2891,6659,0,0,0,0,0,0,145,113,32,185620,1124,0,0,0,0,0,0,0,554559
1,28,4071136,7590,3135,512,93,2920,6660,0,0,0,0,0,0,144,116,28,186938,1080,0,0,0,0,0,0,0,550527
1,29,4072187,7577,3035,540,106,2884,6565,0,0,0,0,0,0,123,84,39,185932,1164,0,0,0,0,0,0,0,557059
1,30,4072069,7457,3088,511,114,2869,6582,0,0,0,0,0,0,127,101,26,186197,1116,0,0,0,0,0,0,0,551657
1,31,4073016,7644,3115,520,124,2813,6572,0,0,0,0,0,0,147,112,35,185024,1145,0,0,0,0,0,0,0,546390
1,32,4071079,7807,3140,504,101,2886,6631,0,0,0,0,0,0,147,110,37,186784,1100,0,0,0,0,0,0,0,552955
1,33,4071475,7581,3160,534,114,2987,6795,0,0,0,0,0,0,119,86,33,186474,1104,0,0,0,0,0,0,0,552349
1,34,4072246,7599,3158,503,108,2991,6760,0,0,0,0,0,0,130,99,31,185695,1118,0,0,0,0,0,0,0,554842
1,35,4071078,7708,3160,534,129,2939,6762,0,0,0,0,0,0,135,94,41,186717,1148,0,0,0,0,0,0,0,554755
1,36,4071537,7513,3116,520,109,2972,6717,0,0,0,0,0,0,142,110,32,186542,1097,0,0,0,0,0,0,0,550704
1,37,4071340,7638,3225,504,110,2945,6784,0,0,0,0,0,0,120,91,29,186582,1084,0,0,0,0,0,0,0,559083
1,38,4072185,7662,3101,496,122,2948,6667,0,0,0,0,0,0,129,100,29,185780,1125,0,0,0,0,0,0,0,557675
1,39,4071978,7603,3086,515,111,2915,6627,0,0,0,0,0,0,132,104,28,186138,1070,0,0,0,0,0,0,0,554547
1,40,4071913,7722,3042,524,141,2895,6602,0,0,0,0,0,0,127,88,39,186015,1169,0,0,0,0,0,0,0,552746
1,41,4071939,7451,3060,525,107,2921,6613,0,0,0,0,0,0,108,75,33,186280,1157,0,0,0,0,0,0,0,551768
1,42,4071676,7544,3148,508,88,2989,6733,0,0,0,0,0,0,141,103,38,186311,1143,0,0,0,0,0,0,0,555219
1,43,4071411,7625,3178,559,109,2910,6756,0,0,0,0,0,0,140,106,34,186454,1162,0,0,0,0,0,0,0,556098
1,44,4071342,7664,3169,547,103,2955,6774,0,0,0,0,0,0,131,100,31,186492,1145,0,0,0,0,0,0,0,560952
1,45,4071400,7581,3159,531,101,2935,6726,0,0,0,0,0,0,124,91,33,186619,1098,0,0,0,0,0,0,0,554712
1,46,4073016,7515,3097,532,145,2786,6560,0,0,0,0,0,0,144,114,30,185185,1128,0,0,0,0,0,0,0,553887
1,47,4071978,7470,3103,552,111,2856,6622,0,0,0,0,0,0,138,114,24,186241,1099,0,0,0,0,0,0,0,552173
1,48,4071544,7584,3089,535,101,2940,6665,0,0,0,0,0,0,142,107,35,186480,1133,0,0,0,0,0,0,0,564019
1,49,4072230,7458,3158,489,97,2901,6645,0,0,0,0,0,0,136,102,34,185916,1163,0,0,0,0,0,0,0,555551
1,50,4071622,7695,3051,504,85,2918,6558,0,0,0,0,0,0,144,107,37,186400,1129,0,0,0,0,0,0,0,547734
1,51,4071393,7716,3200,557,109,2895,6761,0,0,0,0,0,0,133,96,37,186366,1179,0,0,0,0,0,0,0,545352
1,52,4072360,7560,3073,513,117,2882,6585,0,0,0,0,0,0,110,74,36,185819,1114,0,0,0,0,0,0,0,552555
