X,date,county,state,fips,cases,deaths
254,2020-09-30,Western Washington,Washington,53061,38443,1167
255,2020-10-01,Western Washington,Washington,53061,38668,1170
256,2020-10-02,Western Washington,Washington,53061,38900,1173
257,2020-10-03,Western Washington,Washington,53061,39141,1176
258,2020-10-04,Western Washington,Washington,53061,39384,1178
259,2020-10-05,Western Washington,Washington,53061,39629,1181
260,2020-10-06,Western Washington,Washington,53061,39895,1184
261,2020-10-07,Western Washington,Washington,53061,40163,1187
262,2020-10-08,Western Washington,Washington,53061,40438,1191
263,2020-10-09,Western Washington,Washington,53061,40712,1194
264,2020-10-10,Western Washington,Washington,53061,40990,1198
265,2020-10-11,Western Washington,Washington,53061,41280,1201
266,2020-10-12,Western Washington,Washington,53061,41567,1205
267,2020-10-13,Western Washington,Washington,53061,41868,1208
268,2020-10-14,Western Washington,Washington,53061,42164,1212
269,2020-10-15,Western Washington,Washington,53061,42465,1215
270,2020-10-16,Western Washington,Washington,53061,42771,1218
271,2020-10-17,Western Washington,Washington,53061,43095,1221
272,2020-10-18,Western Washington,Washington,53061,43424,1224
273,2020-10-19,Western Washington,Washington,53061,43744,1227
274,2020-10-20,Western Washington,Washington,53061,44078,1231
275,2020-10-21,Western Washington,Washington,53061,44403,1234
276,2020-10-22,Western Washington,Washington,53061,44736,1238
277,2020-10-23,Western Washington,Washington,53061,45082,1241
278,2020-10-24,Western Washington,Washington,53061,45447,1245
279,2020-10-25,Western Washington,Washington,53061,45827,1249
280,2020-10-26,Western Washington,Washington,53061,46199,1252
281,2020-10-27,Western Washington,Washington,53061,46612,1255
282,2020-10-28,Western Washington,Washington,53061,47018,1258
283,2020-10-29,Western Washington,Washington,53061,47463,1262
284,2020-10-30,Western Washington,Washington,53061,47936,1267
285,2020-10-31,Western Washington,Washington,53061,48454,1271
286,2020-11-01,Western Washington,Washington,53061,49000,1275
287,2020-11-02,Western Washington,Washington,53061,49554,1279
288,2020-11-03,Western Washington,Washington,53061,50162,1283
289,2020-11-04,Western Washington,Washington,53061,50782,1287
290,2020-11-05,Western Washington,Washington,53061,51416,1291
